timestamp,event,connections_gw1,connections_gw2,connections_gw3
1776055126,running,0,16,12
1776055129,running,22,16,12
1776055131,running,22,16,12
1776055134,running,22,16,12
1776055136,running,22,16,12
1776055139,running,22,16,12
1776055141,running,22,16,12
1776055144,running,22,16,12
1776055146,running,22,16,12
1776055148,running,22,16,12
1776055151,running,22,16,12
1776055154,running,22,16,12
1776055156,running,22,16,12
1776055157,failover,0,?,?
1776055159,running,0,34,26
1776055161,running,0,34,26
1776055164,running,0,34,26
1776055166,running,0,34,26
1776055168,running,0,34,26
1776055171,running,0,34,26
1776055174,running,0,34,26
1776055176,running,0,34,26
1776055178,running,0,34,26
1776055181,running,0,34,26
1776055183,running,0,34,26
1776055185,running,0,34,26
1776055188,running,0,18,14
1776055190,running,0,18,14
1776055192,running,0,18,14
1776055195,running,0,18,14
1776055197,running,0,18,14
1776055200,running,0,18,14
1776055202,running,0,18,14
1776055204,running,0,18,14
1776055207,running,0,18,14
1776055209,running,0,18,14
1776055212,running,0,18,14
1776055214,running,0,18,14
1776055216,running,0,18,14
1776055219,running,0,18,14
1776055221,running,0,18,14
1776055223,running,0,18,14
1776055226,running,0,18,14
1776055229,running,0,18,14
1776055231,running,0,18,14
1776055233,running,0,18,14
1776055236,running,0,18,14
1776055238,running,0,18,14
1776055240,running,0,18,14
1776055243,running,0,18,14
1776055245,running,0,18,14
1776055247,running,0,18,14
1776055250,running,0,18,14
1776055252,running,0,18,14
1776055255,running,0,18,14
1776055257,running,0,18,14
1776055259,running,0,18,14
1776055262,running,0,18,14
1776055264,running,0,18,14
1776055266,running,0,18,14
1776055269,running,0,18,14
1776055271,running,0,18,14
1776055274,running,0,18,14
1776055276,running,0,18,14
1776055278,running,0,18,14
1776055281,running,0,18,14
1776055283,running,0,18,14
1776055286,running,0,18,14
1776055288,running,0,18,14
1776055290,running,0,18,14
1776055293,running,0,18,14
1776055295,running,0,18,14
1776055297,running,0,18,14
1776055300,running,0,18,14
1776055302,running,0,18,14
1776055305,running,0,18,14
